Date,Open,High,Low,Close,Volume,Adj Close
2015-04-10,27373.67969,27373.67969,26812.75,27272.39062,3341162800,27272.39062
2015-04-09,26913.2793,27922.66992,26732.23047,26944.39062,5024522400,26944.39062
2015-04-08,25708.24023,26247.63086,25640.03906,26236.85938,4101527200,26236.85938
2015-04-07,25214.33008,25297.80078,25152.57031,25275.64062,000,25275.64062
2015-04-02,25214.33008,25297.80078,25152.57031,25275.64062,2106782000,25275.64062
2015-04-01,24955.19922,25099.06055,24926.10938,25082.75,1713463600,25082.75
2015-03-31,25113.19922,25113.19922,24876.36914,24900.89062,2557002200,24900.89062
2015-03-30,24727.46094,24949.34961,24725.51953,24855.11914,2574119600,24855.11914
2015-03-27,24541.43945,24549.88086,24420.4707,24486.19922,1610426400,24486.19922
2015-03-26,24442.50977,24592.00977,24399.83984,24497.08008,1346154100,24497.08008
2015-03-25,24410.5293,24613.68945,24377.91992,24528.23047,1421279500,24528.23047
2015-03-24,24484.67969,24490.15039,24294.94922,24399.59961,1559006100,24399.59961
2015-03-23,24538.33984,24559.76953,24436.41992,24494.50977,1461178100,24494.50977
2015-03-20,24417.5293,24524.55078,24351.50,24375.24023,2006074800,24375.24023
2015-03-19,24325.56055,24500.23047,24248.83984,24468.89062,1826036400,24468.89062
2015-03-18,23938.63086,24210.75,23938.63086,24120.08008,1668404600,24120.08008
2015-03-17,24106.4707,24106.4707,23822.7793,23901.49023,1188627100,23901.49023
2015-03-16,23771.40039,23970.05078,23711.26953,23949.55078,1187740300,23949.55078
2015-03-13,23808.9707,23918.71094,23790.83008,23823.21094,1538401000,23823.21094
2015-03-12,23709.16992,23880.25,23677.06055,23797.96094,1619061000,23797.96094
2015-03-11,23807.09961,23899.85938,23703.83984,23717.9707,1678330400,23717.9707
2015-03-10,24150.67969,24152.40039,23869.82031,23896.98047,1521299200,23896.98047
2015-03-09,23982.50,24205.85938,23910.16016,24123.05078,1619496400,24123.05078
2015-03-06,24235.75977,24294.35938,24126.08984,24164.00,1620647200,24164.00
2015-03-05,24274.90039,24393.84961,24133.71094,24193.03906,1923405000,24193.03906
